https://www.youtube.com/watch?v=PPwPgxNJ1SA,48,51
https://www.youtube.com/watch?v=n2QCiJC06y4,30,35
https://www.youtube.com/watch?v=n2QCiJC06y4,55,60
https://www.youtube.com/watch?v=gaxgALkewhE,48,53
https://www.youtube.com/watch?v=sDkfWRAAqQU,4:47,4:52
https://www.youtube.com/watch?v=sDkfWRAAqQU,5:16,5:21
https://www.youtube.com/watch?v=sDkfWRAAqQU,8:33,8:38
https://www.youtube.com/watch?v=gBuoUH3AOlo,26,31
https://www.youtube.com/watch?v=UFqBluor3Js,102,107
https://www.youtube.com/watch?v=UFqBluor3Js,450,455
https://www.youtube.com/watch?v=UFqBluor3Js,465,470
https://www.youtube.com/watch?v=Q5x4eHn_3tA,0:58,1:03
https://www.youtube.com/watch?v=Q5x4eHn_3tA,1:03,1:08
https://www.youtube.com/watch?v=Q8nln2ppSsY,1:58,2:03
https://www.youtube.com/watch?v=Q8nln2ppSsY,2:03,2:08
https://www.youtube.com/watch?v=Q8nln2ppSsY,2:10,2:15
https://www.youtube.com/watch?v=Q8nln2ppSsY,2:15,2:20
https://www.youtube.com/watch?v=Q8nln2ppSsY,2:20,2:25
https://www.youtube.com/watch?v=Q8nln2ppSsY,2:25,2:30
https://www.youtube.com/watch?v=Q8nln2ppSsY,3:56,4:01
https://www.youtube.com/watch?v=Q8nln2ppSsY,4:01,4:06
https://www.youtube.com/watch?v=Q8nln2ppSsY,4:06,4:11
https://www.youtube.com/watch?v=Q8nln2ppSsY,4:11,4:16
https://www.youtube.com/watch?v=Q8nln2ppSsY,4:23,4:28
https://www.youtube.com/watch?v=Q8nln2ppSsY,4:45,4:50
https://www.youtube.com/watch?v=Q8nln2ppSsY,4:50,4:55
https://www.youtube.com/watch?v=Q8nln2ppSsY,5:49,5:54
https://www.youtube.com/watch?v=Q8nln2ppSsY,5:54,5:59
https://www.youtube.com/watch?v=Q8nln2ppSsY,6:01,6:06
https://www.youtube.com/watch?v=Q8nln2ppSsY,6:06,6:11
https://www.youtube.com/watch?v=Q8nln2ppSsY,6:52,6:57
https://www.youtube.com/watch?v=679tOIgWu6Y,14,19
https://www.youtube.com/watch?v=679tOIgWu6Y,32,37
https://www.youtube.com/watch?v=679tOIgWu6Y,39,44
